文件名,偏移量,大小(字节),标识符
full.au,1062802,4656,0x7084dd00
gears.au,1067458,5327,0xb096dd00
glow.au,1072785,4230,0x90abdd00
governor.au,1077015,4441,0x20bcdd00
gps.au,1081456,12151,0x90cddd00
grad_c.au,1093607,12224,0x10fddd00
grad_f.au,1105831,14875,0xe02cde00
half.au,1120706,3699,0x1067de00
headlight.au,1124405,5983,0x9075de00
headspeed.au,1130388,5245,0x008dde00
height.au,1135633,4884,0x90a1de00
hook.au,1140517,3914,0xb0b4de00
hours.au,1144431,7154,0x10c4de00
hovering.au,1151585,6576,0x10e0de00
hub.au,1158161,4565,0xd0f9de00
idle.au,1162726,4128,0xb00bdf00
ignition.au,1166854,6407,0xe01bdf00
input.au,1173261,5080,0xf034df00
kmh.au,1178341,13842,0xd048df00
land.au,1192183,4890,0xf07edf00
landing.au,1197073,5544,0x2092df00
light.au,1202617,3450,0xd0a7df00
liter_en.au,1206067,5973,0x60b5df00
lock.au,1212040,4100,0xc0ccdf00
log.au,1216140,4063,0xd0dcdf00
low_rpm.au,1220203,10488,0xc0ecdf00
mah.au,1230691,14002,0xc015e000
master.au,1244693,5890,0x804ce000
max.au,1250583,7374,0x9063e000
meter.au,1257957,4332,0x7080e000
millibar.au,1262289,6537,0x7091e000
milliliter_en.au,1268826,7959,0x10abe000
min.au,1276785,5643,0x30cae000
minus.au,1282428,4577,0x50e0e000
minute.au,1287005,5516,0x40f2e000
minutes.au,1292521,6628,0xe007e100
model.au,1299149,4477,0xd021e100
modify.au,1303626,6409,0x6033e100
motor.au,1310035,4240,0x804ce100
motor_idle.au,1314275,7706,0x205de100
motor_off.au,1321981,6787,0x507be100
motor_on.au,1328768,7745,0xe095e100
mph.au,1336513,11523,0x30b4e100
mps.au,1348036,10196,0x40e1e100
newton.au,1358232,4699,0x2009e200
normal.au,1362931,5591,0x901be200
off.au,1368522,3012,0x7031e200
on.au,1371534,4914,0x403de200
ounce.au,1376448,5199,0x8050e200
output.au,1381647,5680,0xe064e200
overspeed.au,1387327,8114,0x207be200
p100.au,1395441,1102,0xe09ae200
p500.au,1396543,5512,0x409fe200
percent.au,1402055,7480,0xd0b4e200
